BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
A01/000001EB682E0002;132378778594279095;2020-06-29;07:17:39.428;application/x-bolt;3893;0235407363 / 0235374414;132378778288780000;2020-06-29;07:17:08.878;;;;;;23004;132378778518820000;2020-06-29;07:17:31.882;;;;;;;;100415_0000000073;;;Multiple main barcodes detected;;;EDI;;Accept;;100415;20000;;2;Arrivals;;;;;;;;;;;;
A01/000001EB68300002;132378778661614931;2020-06-29;07:17:46.161;application/x-bolt;3753;0235407352;132378778356140000;2020-06-29;07:17:15.614;;;;;;23003;132378778586170000;2020-06-29;07:17:38.617;;;;;;;;100415_0000000074;;;;;;EDI;;Accept;;100415;20000;;2;Arrivals;;;;;;;;;;;;
A01/000001EB683A000F;132378778828042938;2020-06-29;07:18:02.804;application/x-bolt;56787;;132378778381650000;2020-06-29;07:17:18.165;;;;;;36839;132378778750040000;2020-06-29;07:17:55.004;;;13090;388;;Reject;20341;100415_0000000075;;;"Enrichment ""VCCLicense"" cancelled: no requester available";Camera01;05;VCS;;Cancel;;100415;20000;;202;Arrivals;;3;Cancelled: no requester available;Cancel;33835;;;;;;;
A01/000001EB68320002;132378778726818998;2020-06-29;07:17:52.682;application/x-bolt;3751;0235407466;132378778421310000;2020-06-29;07:17:22.131;;;;;;23003;132378778651340000;2020-06-29;07:17:45.134;;;;;;;;100415_0000000076;;;;;;EDI;;Accept;;100415;20000;;2;Arrivals;;;;;;;;;;;;
A01/000001EB68340002;132378778757704610;2020-06-29;07:17:55.770;application/x-bolt;3751;0235407211;132378778451560000;2020-06-29;07:17:25.156;;;;;;23063;132378778682190000;2020-06-29;07:17:48.219;;;;;;;;100415_0000000077;;;;;;EDI;;Accept;;100415;20000;;2;Arrivals;;;;;;;;;;;;
A01/000001EB68360002;132378778789160694;2020-06-29;07:17:58.916;application/x-bolt;3863;0235407346 / 0235407158;132378778482800000;2020-06-29;07:17:28.280;;;;;;23083;132378778713630000;2020-06-29;07:17:51.363;;;;;;;;100415_0000000078;;;Multiple main barcodes detected;;;EDI;;Accept;;100415;20078;;2;Arrivals;;;;;;;;;;;;
A01/000001EB68380002;132378778817814455;2020-06-29;07:18:01.781;application/x-bolt;3741;0235407469;132378778512250000;2020-06-29;07:17:31.225;;;;;;23010;132378778742350000;2020-06-29;07:17:54.235;;;;;;;;100415_0000000079;;;;;;EDI;;Accept;;100415;20005;;2;Arrivals;;;;;;;;;;;;
A01/000001EB68490002;132378778848559950;2020-06-29;07:18:04.856;application/x-bolt;3736;0235408061;132378778542790000;2020-06-29;07:17:34.279;;;;;;23003;132378778772820000;2020-06-29;07:17:57.282;;;;;;;;100415_0000000080;;;;;;EDI;;Accept;;100415;20000;;2;Arrivals;;;;;;;;;;;;
A01/000001EB684B0002;132378778881687421;2020-06-29;07:18:08.169;application/x-bolt;3902;0235407869 / 0235407293;132378778575740000;2020-06-29;07:17:37.574;;;;;;23041;132378778806150000;2020-06-29;07:18:00.615;;;;;;;;100415_0000000081;;;Multiple main barcodes detected;;;EDI;;Accept;;100415;20001;;2;Arrivals;;;;;;;;;;;;
A01/000001EB6855000E;132378779039758495;2020-06-29;07:18:23.976;application/x-bolt;54912;;132378778602810000;2020-06-29;07:17:40.281;;;;;;35900;132378778961810000;2020-06-29;07:18:16.181;;;12447;106;;Reject;20321;100415_0000000082;;;"Enrichment ""VCCLicense"" cancelled: no requester available";Camera06;04;VCS;;Cancel;;100415;20007;;202;Arrivals;;4;Cancelled: no requester available;Cancel;32896;;;;;;;
A01/000001EB684D0002;132378778939004945;2020-06-29;07:18:13.900;application/x-bolt;3726;0235407470;132378778633450000;2020-06-29;07:17:43.345;;;;;;23006;132378778863510000;2020-06-29;07:18:06.351;;;;;;;;100415_0000000083;;;;;;EDI;;Accept;;100415;20000;;2;Arrivals;;;;;;;;;;;;
A01/000001EB684F0002;132378778968419339;2020-06-29;07:18:16.842;application/x-bolt;3755;0235407867;132378778662860000;2020-06-29;07:17:46.286;;;;;;23006;132378778892920000;2020-06-29;07:18:09.292;;;;;;;;100415_0000000084;;;;;;EDI;;Accept;;100415;20000;;2;Arrivals;;;;;;;;;;;;
