BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D469D5C0007;132319180692576964;2020-04-21;07:47:49.258;application/x-bolt;26327;0235918497;132319180486142000;2020-04-21;07:47:28.614;;;;;;18007;132319180666212000;2020-04-21;07:47:46.621;;;;;;;;132000_0034353082;;;;;;EDI+EDI;;Accept;;132000;2201;;123;Departures;;;;;;;;;;;;
D01/00000D469D630007;132319180767098901;2020-04-21;07:47:56.710;application/x-bolt;27206;0235918486;132319180560752000;2020-04-21;07:47:36.075;;;;;;18006;132319180740812000;2020-04-21;07:47:54.081;;;;;;;;132000_0034353081;;;;;;EDI+EDI;;Accept;;132000;2222;;123;Departures;;;;;;;;;;;;
D01/00000D469D6A0006;132319180810414909;2020-04-21;07:48:01.041;application/x-bolt;23399;0235918509;132319180604082000;2020-04-21;07:47:40.408;;;;;;18007;132319180784152000;2020-04-21;07:47:58.415;;;;;;;;132000_0034353086;;;;Camera04;10;EDI+EDI;;Accept;;132000;2217;;123;Departures;;;;;;;;;;;;
D01/00000D469D700007;132319180836056220;2020-04-21;07:48:03.606;application/x-bolt;25900;0235918492;132319180629702000;2020-04-21;07:47:42.970;;;;;;18007;132319180809772000;2020-04-21;07:48:00.977;;;;;;;;132000_0034353083;;;;;;EDI+EDI;;Accept;;132000;2243;;123;Departures;;;;;;;;;;;;
D01/00000D469D770006;132319180865380587;2020-04-21;07:48:06.538;application/x-bolt;24007;0235918495;132319180659082000;2020-04-21;07:47:45.908;;;;;;18006;132319180839142000;2020-04-21;07:48:03.914;;;;;;;;132000_0034353084;;;;;;EDI+EDI;;Accept;;132000;2247;;123;Departures;;;;;;;;;;;;
D01/00000D469D7D0007;132319288421991024;2020-04-21;10:47:22.199;application/x-bolt;24477;0235919530;132319288207120000;2020-04-21;10:47:00.712;;;;;;18006;132319288387180000;2020-04-21;10:47:18.718;;;;;;;;131800_0034353597;;;;Camera04;08;EDI+EDI;;Accept;;131800;2227;;123;Departures;;;;;;;;;;;;
D01/00000D469D840007;132319288455388995;2020-04-21;10:47:25.539;application/x-bolt;25008;0235919543;132319288240520000;2020-04-21;10:47:04.052;;;;;;18006;132319288420580000;2020-04-21;10:47:22.058;;;;;;;;131800_0034353605;;;;;;EDI+EDI;;Accept;;131800;2244;;123;Departures;;;;;;;;;;;;
D01/00000D469D8B0007;132319289149300154;2020-04-21;10:48:34.930;application/x-bolt;24828;0235919560;132319288934370000;2020-04-21;10:48:13.437;;;;;;18007;132319289114440000;2020-04-21;10:48:31.444;;;;;;;;131800_0034353612;;;;;;EDI+EDI;;Accept;;131800;2244;;123;Departures;;;;;;;;;;;;
D01/00000D469D920006;132319289583703969;2020-04-21;10:49:18.370;application/x-bolt;24130;0235919562;132319289368780000;2020-04-21;10:48:56.878;;;;;;18007;132319289548850000;2020-04-21;10:49:14.885;;;;;;;;131800_0034353615;;;;;;EDI+EDI;;Accept;;131800;2269;;123;Departures;;;;;;;;;;;;
D01/00000D469D980006;132319291118439324;2020-04-21;10:51:51.844;application/x-bolt;24139;0235919585;132319290903520000;2020-04-21;10:51:30.352;;;;;;18007;132319291083590000;2020-04-21;10:51:48.359;;;;;;;;131800_0034353620;;;;;;EDI+EDI;;Accept;;131800;3043;;123;Departures;;;;;;;;;;;;
