BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
A01/0000020647F70002;132415665249788036;2020-08-10;23:55:24.979;application/x-bolt;3768;0235285079;132415668004480000;2020-08-11;00:00:00.448;;;;;;23269;132415668237170000;2020-08-11;00:00:23.717;;;;;;;;100107_0000000163;;;;;;EDI;;Accept;;100107;20261;;2;Arrivals;;;;;;;;;;;;
A01/000002064B340001;132415668301305009;2020-08-11;00:00:30.131;application/x-bolt;3694;0235292341;132415668017764000;2020-08-11;00:00:01.776;;;;;;23003;132415668247794000;2020-08-11;00:00:24.779;;;;;;;;101003_0000000867;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
A01/0000020647FA0002;132415665275969631;2020-08-10;23:55:27.597;application/x-bolt;3747;0235285926;132415668033460000;2020-08-11;00:00:03.346;;;;;;23003;132415668263490000;2020-08-11;00:00:26.349;;;;;;;;100107_0000000164;;;;;;EDI;;Accept;;100107;20000;;2;Arrivals;;;;;;;;;;;;
A01/0000020648070002;132415665306124501;2020-08-10;23:55:30.612;application/x-bolt;3755;0235285275;132415668063510000;2020-08-11;00:00:06.351;;;;;;23011;132415668293620000;2020-08-11;00:00:29.362;;;;;;;;100107_0000000165;;;;;;EDI;;Accept;;100107;20000;;2;Arrivals;;;;;;;;;;;;
A01/000002064B4C0001;132415668354999300;2020-08-11;00:00:35.500;application/x-bolt;3697;0235292249;132415668071444000;2020-08-11;00:00:07.144;;;;;;23003;132415668301474000;2020-08-11;00:00:30.147;;;;;;;;101003_0000000868;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
A01/0000020648140002;132415665333366975;2020-08-10;23:55:33.337;application/x-bolt;3753;0235285757;132415668090820000;2020-08-11;00:00:09.082;;;;;;23003;132415668320850000;2020-08-11;00:00:32.085;;;;;;;;100107_0000000166;;;;;;EDI;;Accept;;100107;20001;;2;Arrivals;;;;;;;;;;;;
A01/0000020648170002;132415665364822921;2020-08-10;23:55:36.482;application/x-bolt;3863;0235284590 / 0235286490;132415668122180000;2020-08-11;00:00:12.218;;;;;;23004;132415668352220000;2020-08-11;00:00:35.222;;;;;;;;100107_0000000167;;;Multiple main barcodes detected;;;EDI;;Accept;;100107;20000;;2;Arrivals;;;;;;;;;;;;
A01/000002064B570001;132415668409834530;2020-08-11;00:00:40.983;application/x-bolt;3684;0235292307;132415668126224000;2020-08-11;00:00:12.622;;;;;;23003;132415668356254000;2020-08-11;00:00:35.625;;;;;;;;101003_0000000869;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
A01/0000020648240002;132415665399721702;2020-08-10;23:55:39.972;application/x-bolt;3738;0235285844;132415668157060000;2020-08-11;00:00:15.706;;;;;;23004;132415668387100000;2020-08-11;00:00:38.710;;;;;;;;100107_0000000168;;;;;;EDI;;Accept;;100107;20000;;2;Arrivals;;;;;;;;;;;;
A01/000002064B580001;132415668451408820;2020-08-11;00:00:45.141;application/x-bolt;3687;0235292328;132415668167854000;2020-08-11;00:00:16.785;;;;;;23003;132415668397884000;2020-08-11;00:00:39.788;;;;;;;;101003_0000000870;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
A01/00000206485C000F;132415665608824178;2020-08-10;23:56:00.882;application/x-bolt;59348;;132415668197810000;2020-08-11;00:00:19.781;;;;;;39613;132415668593940000;2020-08-11;00:00:59.394;;;13206;353;;Reject;20333;100107_0000000169;;;VCS license reject ( 3);Camera01;07;VCS;;Reject;;100107;20000;;202;Arrivals;7;2691;Reject: 3;Reject;33911;mhs\VCS_7;;;;;;
A01/000002064B590001;132415668505803685;2020-08-11;00:00:50.580;application/x-bolt;3689;0235290606;132415668222254000;2020-08-11;00:00:22.225;;;;;;23003;132415668452284000;2020-08-11;00:00:45.228;;;;;;;;101003_0000000871;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
A01/00000206483E0002;132415665503367194;2020-08-10;23:55:50.337;application/x-bolt;3756;0235285578;132415668258390000;2020-08-11;00:00:25.839;;;;;;23084;132415668489230000;2020-08-11;00:00:48.923;;;;;;;;100107_0000000170;;;;;;EDI;;Accept;;100107;20000;;2;Arrivals;;;;;;;;;;;;
A01/000002064B670001;132415668549509735;2020-08-11;00:00:54.951;application/x-bolt;3708;0235292342;132415668265984000;2020-08-11;00:00:26.598;;;;;;23003;132415668496014000;2020-08-11;00:00:49.601;;;;;;;;101003_0000000872;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
A01/000002064B680001;132415668584758809;2020-08-11;00:00:58.476;application/x-bolt;3690;0235292113;132415668301204000;2020-08-11;00:00:30.120;;;;;;23003;132415668531234000;2020-08-11;00:00:53.123;;;;;;;;101003_0000000873;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
A01/00000206484D0002;132415665558842953;2020-08-10;23:55:55.884;application/x-bolt;3763;0235285634;132415668316160000;2020-08-11;00:00:31.616;;;;;;23021;132415668546370000;2020-08-11;00:00:54.637;;;;;;;;100107_0000000171;;;;;;EDI;;Accept;;100107;20016;;2;Arrivals;;;;;;;;;;;;
A01/000002064B690001;132415668618436589;2020-08-11;00:01:01.844;application/x-bolt;3685;0235290973;132415668334854000;2020-08-11;00:00:33.485;;;;;;23003;132415668564884000;2020-08-11;00:00:56.488;;;;;;;;101003_0000000874;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
A01/00000206485A0002;132415665590218833;2020-08-10;23:55:59.022;application/x-bolt;3742;0235284498;132415668347650000;2020-08-11;00:00:34.765;;;;;;23003;132415668577680000;2020-08-11;00:00:57.768;;;;;;;;100107_0000000172;;;;;;EDI;;Accept;;100107;20000;;2;Arrivals;;;;;;;;;;;;
A01/00000206486D0002;132415665617801582;2020-08-10;23:56:01.780;application/x-bolt;3740;0235285589;132415668375340000;2020-08-11;00:00:37.534;;;;;;23003;132415668605370000;2020-08-11;00:01:00.537;;;;;;;;100107_0000000173;;;;;;EDI;;Accept;;100107;20000;;2;Arrivals;;;;;;;;;;;;
A01/00000206487B0002;132415665662268262;2020-08-10;23:56:06.227;application/x-bolt;3760;0235284495;132415668419750000;2020-08-11;00:00:41.975;;;;;;23003;132415668649780000;2020-08-11;00:01:04.978;;;;;;;;100107_0000000174;;;;;;EDI;;Accept;;100107;20000;;2;Arrivals;;;;;;;;;;;;
A01/000002064B6A0001;132415668707470026;2020-08-11;00:01:10.747;application/x-bolt;3679;0235292250;132415668423844000;2020-08-11;00:00:42.384;;;;;;23003;132415668653874000;2020-08-11;00:01:05.387;;;;;;;;101003_0000000875;;;;;;EDI;;Accept;;101003;20000;;2;;;;;;;;;;;;;
